days daily_dust_count daily_dust_std
2020/10/20 6 0.421637021355784
2020/10/21 8 0.632455532033676
2020/10/22 6 0.483045891539648
2020/10/23 3 0
2020/10/24 6 0.567646212197547
2020/10/25 6 0.421637021355784
2020/10/26 3.5 1.08012344973464
2020/10/27 10 1.10050493461461
2020/10/28 10 0.516397779494322
2020/10/29 9 0.737864787372622
2020/10/30 4 0.316227766016838
2020/10/31 9 1.70293863659264
2020/11/01 5 0.632455532033676
2020/11/02 10 0.788810637746616
2020/11/03 5.5 0.52704627669473
2020/11/04 7 0.948683298050514
2020/11/05 5 0.843274042711568
2020/11/06 10 0.674948557710553
2020/11/07 11 0.421637021355784
2020/11/08 6 0.788810637746616
2020/11/09 12 0.567646212197547
2020/11/10 5.5 1.17378779077727
2020/11/11 8 0.471404520791032
2020/11/12 10 0.483045891539648
2020/11/13 5 0.483045891539648
2020/11/14 7 0.97182531580755
2020/11/15 8 0.942809041582063
2020/11/16 11 2.59058123036339
2020/11/17 11 2.80673792466945
2020/11/18 7 1.56702123647242
2020/11/19 12 0.875595035770913
2020/11/20 6 0.567646212197547
2020/11/21 5 0.699205898780101
2020/11/22 13 0.918936583472682
2020/11/23 12 1.15950180872841
2020/11/24 NaN NaN
2020/11/25 NaN NaN
2020/11/26 9.5 0.699205898780101
2020/11/27 12 0.483045891539648
2020/11/28 11 1.85292561462497
2020/11/29 8 0
2020/11/30 5.5 1.17378779077727
2020/12/01 14 1.19721899973786
2020/12/02 8 1.41813649241218
2020/12/03 11 0.471404520791032
2020/12/04 14 1.17378779077727
2020/12/05 7.5 1.47572957474524
2020/12/06 11 0.421637021355784
2020/12/07 13.5 1.3703203194063
2020/12/08 7 0.674948557710553
2020/12/09 16 0.483045891539648
2020/12/10 10.5 5.35516365555505
2020/12/11 12 1.52388392675499
2020/12/12 7 0.421637021355784
2020/12/13 17 1.84089350286454
2020/12/14 12 0.632455532033676
2020/12/15 15 0.567646212197547
2020/12/16 14 0.567646212197547
2020/12/17 14.5 1.08012344973464
2020/12/18 6 0.994428926011753
2020/12/19 7 0.843274042711568
2020/12/20 19.5 1.85292561462497
2020/12/21 6 1.05409255338946
2020/12/22 12 1.34989711542111
2020/12/23 9 0.316227766016838
2020/12/24 13 1.31656117720877
2020/12/25 15 0.666666666666667
2020/12/26 8 0.994428926011753
2020/12/27 12 0.942809041582063
2020/12/28 14 0.483045891539648
2020/12/29 14.5 1.31656117720877
2020/12/30 14 0.918936583472682
2020/12/31 20 0.942809041582063
2021/01/01 17 1.31656117720877
2021/01/02 23 1.88856206322871
2021/01/03 20 1.03279555898864
2021/01/04 7 0.918936583472681
2021/01/05 15 1.63639169448448
2021/01/06 17 0.483045891539648
2021/01/07 26 1.05934990547138
2021/01/08 18 0.918936583472682
2021/01/09 16 0.674948557710553
2021/01/10 26 2.65832027165025
2021/01/11 23 1.19721899973786
2021/01/12 15 1.22927259430572
2021/01/13 11.5 0.823272602348565
2021/01/14 19.5 2.75882422620781
2021/01/15 16 1.63639169448448
2021/01/16 18 1.25166555703457
2021/01/17 18 1.63639169448448
2021/01/18 NaN NaN
2021/01/19 NaN NaN
2021/01/20 NaN NaN
2021/01/21 NaN NaN
2021/01/22 NaN NaN
2021/01/23 NaN NaN
2021/01/24 1 NaN
2021/01/25 16 0.316227766016838
2021/01/26 14 0.966091783079296
2021/01/27 12.5 0.966091783079296
2021/01/28 14 0.97182531580755
2021/01/29 15.5 1.15950180872841
2021/01/30 17 0.948683298050514
2021/01/31 14 0.97182531580755
2021/02/01 21.5 1.75119007154183
2021/02/02 14 0.567646212197547
2021/02/03 14 0.674948557710553
2021/02/04 15 1.24721912892465
2021/02/05 19.5 1.71269767715535
2021/02/06 16 0.948683298050514
2021/02/07 22 1.59513148186739
2021/02/08 17.5 1.66332999331662
2021/02/09 21 2.27058484879019
2021/02/10 19 1.63299316185545
2021/02/11 17 0.816496580927726
2021/02/12 13 0.516397779494322
2021/02/13 20 2.57336787541584
2021/02/14 17.5 2.26077666104176
2021/02/15 12 1.56347191994114
2021/02/16 16 0.918936583472682
2021/02/17 15 1.08012344973464
2021/02/18 17 1.66332999331662
2021/02/19 5 0
2021/02/20 21.5 1.61932770686548
2021/02/21 8 0.666666666666667
2021/02/22 11 1.91195071996
2021/02/23 9 1.05409255338946
2021/02/24 14 2.95145914949049
2021/02/25 9.5 3.26768691550733
2021/02/26 15.5 1.42984070596848
2021/02/27 16 5.34997403939703
2021/02/28 19.5 1.76383420737639
2021/03/01 18.5 2.65832027165025
2021/03/02 19.5 0.849836585598797
2021/03/03 12 1.10050493461461
2021/03/04 1 0
2021/03/05 18 0.699205898780101
2021/03/06 12 1.31656117720877
2021/03/07 15.5 3.28125992061992
2021/03/08 13.5 1.61932770686548
2021/03/09 13 0.843274042711568
2021/03/10 12 1.07496769977314
2021/03/11 2 0.843274042711568
2021/03/12 7.5 1.17378779077727
2021/03/13 8 0.918936583472681
2021/03/14 13 0.516397779494322
2021/03/15 6 1.91195071996
2021/03/16 12.5 1.13529242439509
2021/03/17 13 1.68654808542314
2021/03/18 10 0.707106781186548
2021/03/19 13 0.632455532033676
2021/03/20 7 0.737864787372622
2021/03/21 18 0.674948557710553
2021/03/22 16 0.483045891539648
2021/03/23 11 1.25166555703457
2021/03/24 7 1.08012344973464
2021/03/25 11 0
2021/03/26 9 0.875595035770913
2021/03/27 11 1.75119007154183
2021/03/28 7 1.91195071996
2021/03/29 10 0.674948557710553
2021/03/30 10 0.483045891539648
2021/03/31 7 0.316227766016838
2021/04/01 4 1.10050493461461
2021/04/02 12 0.421637021355784
2021/04/03 7 0.707106781186548
2021/04/04 3 0.632455532033676
2021/04/05 10.5 0.699205898780101
2021/04/06 5 0.316227766016838
2021/04/07 4 0.483045891539648
2021/04/08 8 0.516397779494322
2021/04/09 7 0.421637021355784
2021/04/10 15 0.421637021355784
2021/04/11 3 0.567646212197547
2021/04/12 10 0.788810637746616
2021/04/13 10 0.816496580927726
2021/04/14 6.5 0.699205898780101
2021/04/15 9 0
